# ----------------------------------------
# jason
# Location
# 20120330-20120330
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration, New Visits,Bounce Rate
Richmond,1,1.00,00:00:00,100.00,100.00,
Amsterdam,1,2.00,00:01:15,100.00,0.00,
Baldwinsville,1,1.00,00:00:00,100.00,100.00,
Buffalo,1,1.00,00:00:00,100.00,100.00,
Rochester,1,1.00,00:00:00,100.00,100.00,
South Glens Falls,1,1.00,00:00:00,100.00,100.00,
Syracuse,1,23.00,00:17:23,0.00,0.00,
Scranton,1,1.00,00:00:00,100.00,100.00,
,8,3.88,00:02:20,87.50,75.00

