# ----------------------------------------
# jason
# Location
# 20120328-20120328
# ----------------------------------------

City,Visits,Pages/Visit,Avg. Visit Duration,% New Visits,Bounce Rate
New Milford,1,1.00,00:00:00,100.00%,100.00%
Albany,1,3.00,00:00:05,100.00%,0.00%
Amsterdam,1,1.00,00:00:00,100.00%,100.00%
Baldwinsville,1,5.00,00:10:19,0.00%,0.00%
Clifton Park,1,1.00,00:00:00,100.00%,100.00%
Endicott,1,1.00,00:00:00,100.00%,100.00%
Rochester,1,1.00,00:00:00,0.00%,100.00%
Utica,1,1.00,00:00:00,100.00%,100.00%
,8,1.75,00:01:18,75.00%,75.00%

